epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5534.12,1.4241,0.7978,0.94358,0.81557,0.71822,0.8061,0.46517,1.35953,0.87134,0.95453,0.005842,0.005842,0.005842
44,5615.66,1.42999,0.80074,0.94318,0.81658,0.70783,0.80547,0.46515,1.36238,0.874,0.9603,0.005743,0.005743,0.005743
45,5695.53,1.41732,0.79334,0.94209,0.83159,0.70492,0.80896,0.46916,1.36147,0.87284,0.95562,0.005644,0.005644,0.005644
46,5775.76,1.41638,0.79414,0.94564,0.82628,0.71163,0.80804,0.4693,1.35633,0.86274,0.95661,0.005545,0.005545,0.005545
47,5854.4,1.42168,0.79527,0.94453,0.82241,0.71029,0.81009,0.46928,1.36515,0.86272,0.96012,0.005446,0.005446,0.005446
48,5935.13,1.41109,0.78343,0.94254,0.82438,0.71163,0.81141,0.47005,1.34752,0.86571,0.95433,0.005347,0.005347,0.005347
49,6014.42,1.40547,0.78275,0.94148,0.81913,0.71365,0.80896,0.47041,1.34999,0.87346,0.95195,0.005248,0.005248,0.005248
50,6094.11,1.40389,0.77908,0.94184,0.81927,0.70671,0.80861,0.47261,1.34376,0.86064,0.95415,0.005149,0.005149,0.005149
51,6175.13,1.39726,0.77722,0.93515,0.82191,0.70933,0.81021,0.47258,1.33878,0.87174,0.95266,0.00505,0.00505,0.00505
52,6255.48,1.39945,0.77483,0.93873,0.82884,0.70447,0.81082,0.47324,1.3458,0.87098,0.95269,0.004951,0.004951,0.004951
53,6335.57,1.39303,0.77443,0.93559,0.82124,0.71566,0.81276,0.47485,1.34182,0.86509,0.94899,0.004852,0.004852,0.004852
54,6416.09,1.39216,0.77315,0.93646,0.82275,0.7179,0.812,0.47558,1.34164,0.86035,0.94976,0.004753,0.004753,0.004753
55,6495.94,1.38914,0.77032,0.93543,0.83033,0.71566,0.81442,0.47588,1.33496,0.85278,0.94631,0.004654,0.004654,0.004654
56,6575.93,1.39553,0.76537,0.93629,0.81537,0.72349,0.81648,0.47652,1.3394,0.86093,0.94474,0.004555,0.004555,0.004555
57,6656.38,1.38854,0.76951,0.93377,0.83372,0.71563,0.81639,0.47694,1.33159,0.86264,0.94315,0.004456,0.004456,0.004456
58,6735.7,1.38131,0.75859,0.93177,0.84202,0.70468,0.81617,0.47682,1.32805,0.86246,0.94269,0.004357,0.004357,0.004357
59,6816.12,1.38124,0.76301,0.93276,0.83533,0.71042,0.81553,0.47751,1.32901,0.85563,0.9412,0.004258,0.004258,0.004258
60,6895.63,1.37429,0.75318,0.92752,0.83267,0.71611,0.81735,0.47972,1.32804,0.85802,0.94177,0.004159,0.004159,0.004159
61,7012.07,1.37286,0.74803,0.9296,0.82375,0.72237,0.8158,0.47937,1.33228,0.8598,0.94265,0.00406,0.00406,0.00406
62,7144.45,1.37303,0.75384,0.92821,0.82576,0.72461,0.81927,0.48212,1.33464,0.8542,0.94387,0.003961,0.003961,0.003961
63,7230.55,1.37361,0.75234,0.92956,0.82196,0.7226,0.81762,0.48217,1.3269,0.8444,0.94144,0.003862,0.003862,0.003862
64,7399.38,1.36829,0.74941,0.92982,0.82332,0.73333,0.81891,0.4826,1.32536,0.84433,0.94149,0.003763,0.003763,0.003763
65,7645.47,1.36559,0.74591,0.92595,0.81477,0.73014,0.81887,0.48152,1.32294,0.84345,0.94098,0.003664,0.003664,0.003664
66,7850.34,1.35462,0.74118,0.92733,0.81783,0.72707,0.81691,0.48242,1.32363,0.84853,0.94069,0.003565,0.003565,0.003565
67,7973.55,1.36138,0.73987,0.92578,0.82667,0.72327,0.81633,0.48238,1.32431,0.84252,0.9414,0.003466,0.003466,0.003466
68,8111.49,1.35595,0.73989,0.92558,0.82464,0.72591,0.81763,0.48326,1.332,0.84606,0.94284,0.003367,0.003367,0.003367
69,8246.29,1.34591,0.73035,0.92373,0.8246,0.72991,0.81962,0.48373,1.33327,0.8417,0.94379,0.003268,0.003268,0.003268
70,8377.76,1.3529,0.73257,0.92342,0.82804,0.73036,0.82139,0.48497,1.32991,0.83522,0.94392,0.003169,0.003169,0.003169
71,8509.95,1.35604,0.73303,0.92404,0.83406,0.72394,0.82206,0.48396,1.32862,0.83229,0.94502,0.00307,0.00307,0.00307
72,8632.88,1.34044,0.72474,0.92079,0.83381,0.72398,0.82266,0.48398,1.32677,0.83258,0.94365,0.002971,0.002971,0.002971
73,8715.13,1.34608,0.73134,0.9218,0.82281,0.7355,0.82392,0.48489,1.32437,0.83246,0.94168,0.002872,0.002872,0.002872
74,8796.18,1.34055,0.72202,0.91966,0.8189,0.73781,0.82351,0.48556,1.32153,0.82938,0.94123,0.002773,0.002773,0.002773
75,8883.69,1.34002,0.72443,0.91945,0.82748,0.72953,0.82222,0.48589,1.32298,0.83031,0.94084,0.002674,0.002674,0.002674
76,8974.75,1.33608,0.71748,0.91888,0.83837,0.72409,0.8233,0.48594,1.32415,0.83589,0.94098,0.002575,0.002575,0.002575
77,9055.82,1.33086,0.71665,0.91759,0.83128,0.72635,0.82282,0.48612,1.32542,0.84051,0.93978,0.002476,0.002476,0.002476
78,9137.18,1.31772,0.70784,0.91492,0.83496,0.72324,0.82198,0.4865,1.32604,0.8397,0.93918,0.002377,0.002377,0.002377
79,9218.67,1.31915,0.71125,0.91507,0.83599,0.72081,0.82098,0.48667,1.32795,0.8417,0.93966,0.002278,0.002278,0.002278
80,9300.87,1.32138,0.71069,0.91637,0.83431,0.72192,0.82159,0.48746,1.32686,0.84079,0.93928,0.002179,0.002179,0.002179
81,9383.44,1.30913,0.70014,0.91359,0.83642,0.72525,0.82129,0.48771,1.32591,0.83987,0.93869,0.00208,0.00208,0.00208
82,9464.71,1.30842,0.69703,0.91258,0.8284,0.73378,0.82293,0.48731,1.32668,0.84104,0.93847,0.001981,0.001981,0.001981
83,9546.17,1.31115,0.70285,0.91565,0.82847,0.73366,0.82256,0.48782,1.32346,0.84097,0.93766,0.001882,0.001882,0.001882
84,9626.74,1.30675,0.6995,0.91114,0.82932,0.73483,0.82315,0.48755,1.32402,0.84358,0.93745,0.001783,0.001783,0.001783
85,9707.4,1.30767,0.69926,0.91288,0.82828,0.73483,0.82284,0.48743,1.32355,0.84415,0.93722,0.001684,0.001684,0.001684
86,9789.51,1.29818,0.69149,0.91148,0.82606,0.73445,0.82286,0.48708,1.32205,0.84164,0.93698,0.001585,0.001585,0.001585
87,9870.19,1.30133,0.69411,0.90943,0.83607,0.72796,0.8221,0.48808,1.32115,0.8413,0.9368,0.001486,0.001486,0.001486
88,9951.84,1.29872,0.69298,0.91079,0.83216,0.73316,0.82312,0.48791,1.32139,0.84115,0.93671,0.001387,0.001387,0.001387
89,10033.9,1.29353,0.68642,0.90758,0.83231,0.73289,0.82376,0.48817,1.32102,0.83943,0.93716,0.001288,0.001288,0.001288
90,10115.1,1.2969,0.68543,0.90946,0.83614,0.73043,0.8234,0.48841,1.32091,0.83853,0.93737,0.001189,0.001189,0.001189
