epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.403,1.8085,1.58681,1.07044,0.61823,0.48255,0.52466,0.23447,1.84367,1.52485,1.07324,0.00332837,0.00332837,0.0700446
2,268.319,1.83822,1.25939,1.06565,0.60871,0.50313,0.55345,0.25883,1.74926,1.47117,1.07018,0.00659576,0.00659576,0.0399787
3,384.616,1.89073,1.29371,1.0961,0.62652,0.51163,0.55118,0.2412,1.8474,1.51928,1.08806,0.00979714,0.00979714,0.00984674
4,503.066,1.87974,1.26445,1.09991,0.66235,0.49396,0.55043,0.25911,1.78949,1.5599,1.11862,0.009703,0.009703,0.009703
5,619.341,1.80673,1.17634,1.083,0.69894,0.59262,0.64403,0.31207,1.70031,1.66772,1.08858,0.009604,0.009604,0.009604
6,737.317,1.73872,1.11148,1.06121,0.74445,0.57651,0.67602,0.33914,1.64851,1.19995,1.06037,0.009505,0.009505,0.009505
7,872.818,1.7153,1.07658,1.05151,0.75332,0.59441,0.69212,0.35569,1.60112,1.18576,1.05025,0.009406,0.009406,0.009406
8,1042.25,1.69244,1.04533,1.04318,0.73051,0.58763,0.66537,0.33192,1.64394,1.26011,1.06129,0.009307,0.009307,0.009307
9,1192.43,1.65868,1.02161,1.03589,0.74603,0.60787,0.6932,0.3534,1.59535,1.14679,1.05246,0.009208,0.009208,0.009208
10,1312.4,1.64147,0.99445,1.02951,0.79632,0.61432,0.72251,0.38046,1.52574,1.07776,1.01459,0.009109,0.009109,0.009109
11,1433.26,1.62812,0.98856,1.0231,0.76406,0.64698,0.73385,0.38975,1.52187,1.06427,1.01493,0.00901,0.00901,0.00901
12,1554.58,1.6117,0.97344,1.0224,0.77518,0.63021,0.72459,0.38403,1.54579,1.08248,1.02325,0.008911,0.008911,0.008911
13,1676.32,1.59416,0.95825,1.01602,0.77012,0.63065,0.72904,0.38468,1.53537,1.09506,1.02129,0.008812,0.008812,0.008812
14,2198.02,1.58763,0.94464,1.01299,0.78676,0.64855,0.73998,0.39978,1.4981,1.04192,1.01879,0.008713,0.008713,0.008713
15,2334.56,1.57427,0.93862,1.00764,0.76591,0.65217,0.74236,0.40453,1.50045,1.0611,1.02091,0.008614,0.008614,0.008614
16,2461.63,1.56121,0.92514,1.00226,0.78081,0.64698,0.74404,0.40995,1.48156,1.00688,1.01,0.008515,0.008515,0.008515
17,2591.76,1.55748,0.9191,1.00295,0.79177,0.64224,0.74846,0.40919,1.45509,1.00842,1.00353,0.008416,0.008416,0.008416
18,2724.01,1.5503,0.91022,1.00194,0.75588,0.65794,0.73881,0.39983,1.4707,1.01825,1.00653,0.008317,0.008317,0.008317
19,2854.7,1.53803,0.90113,0.99296,0.80318,0.66443,0.76318,0.42426,1.45165,0.99195,1.00048,0.008218,0.008218,0.008218
20,2983.77,1.53639,0.89642,0.99273,0.79204,0.668,0.76439,0.42419,1.44689,0.98839,1.00236,0.008119,0.008119,0.008119
21,3113.24,1.53099,0.88964,0.9918,0.81464,0.66376,0.76732,0.42459,1.46085,0.96246,1.00268,0.00802,0.00802,0.00802
22,3241.93,1.52499,0.88154,0.98924,0.79699,0.66398,0.76698,0.42576,1.43595,0.95863,1.00038,0.007921,0.007921,0.007921
23,3370.18,1.52057,0.88618,0.98833,0.79583,0.66957,0.7695,0.43084,1.42948,0.97073,0.99774,0.007822,0.007822,0.007822
24,3499.78,1.50915,0.87211,0.98763,0.79516,0.67044,0.76614,0.4322,1.40882,0.9415,0.99331,0.007723,0.007723,0.007723
25,3629.53,1.50489,0.8705,0.98337,0.78485,0.69125,0.78078,0.44042,1.40379,0.93465,0.98069,0.007624,0.007624,0.007624
26,3759.19,1.4958,0.86329,0.97981,0.78482,0.67852,0.77048,0.43339,1.42244,0.95291,0.99212,0.007525,0.007525,0.007525
