epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4633.01,1.78215,0.97497,0.00286,0.82723,0.6774,0.79151,0.45856,1.60087,1.09016,0.0034,0.005842,0.005842,0.005842
44,4735.85,1.78503,0.97406,0.00286,0.8125,0.70425,0.79948,0.46394,1.57014,1.0743,0.00334,0.005743,0.005743,0.005743
45,4835.96,1.77903,0.96341,0.00286,0.80978,0.69906,0.79759,0.46415,1.57065,1.09025,0.0033,0.005644,0.005644,0.005644
46,4935.06,1.7691,0.96291,0.00285,0.81356,0.69284,0.79237,0.46198,1.5755,1.09413,0.00331,0.005545,0.005545,0.005545
47,5041.59,1.77186,0.97561,0.00284,0.80557,0.70112,0.79916,0.46747,1.56759,1.08657,0.00334,0.005446,0.005446,0.005446
48,5148.38,1.7638,0.95796,0.00281,0.80533,0.71454,0.80321,0.4716,1.56539,1.09425,0.00328,0.005347,0.005347,0.005347
49,5255.77,1.75754,0.95567,0.00283,0.81226,0.70694,0.79939,0.47054,1.56633,1.0939,0.00328,0.005248,0.005248,0.005248
50,5355.52,1.75962,0.9572,0.00282,0.82758,0.69365,0.7967,0.46587,1.57038,1.08026,0.00327,0.005149,0.005149,0.005149
51,5459.03,1.74785,0.93829,0.00277,0.81693,0.69396,0.79713,0.46908,1.5576,1.08061,0.00327,0.00505,0.00505,0.00505
52,5561.24,1.74542,0.93492,0.00277,0.81295,0.7038,0.80319,0.47247,1.54508,1.06957,0.00323,0.004951,0.004951,0.004951
53,5659.66,1.74356,0.93414,0.00276,0.80098,0.71275,0.80192,0.47026,1.55958,1.088,0.00326,0.004852,0.004852,0.004852
54,5761.25,1.74367,0.92936,0.00278,0.81163,0.71342,0.80662,0.4737,1.56926,1.05962,0.00326,0.004753,0.004753,0.004753
55,5864.83,1.7422,0.93213,0.00278,0.81636,0.70806,0.80462,0.47315,1.55289,1.08118,0.00321,0.004654,0.004654,0.004654
56,5970.09,1.74532,0.9268,0.00275,0.80932,0.70872,0.80394,0.47283,1.54862,1.06616,0.00322,0.004555,0.004555,0.004555
57,6075.31,1.73582,0.92753,0.00276,0.81365,0.71112,0.80793,0.47692,1.55533,1.05705,0.00322,0.004456,0.004456,0.004456
58,6176.92,1.73074,0.9229,0.00272,0.82541,0.7,0.80709,0.47805,1.53573,1.07196,0.00313,0.004357,0.004357,0.004357
59,6279.09,1.72157,0.9095,0.00273,0.81958,0.71136,0.80958,0.47872,1.53398,1.06345,0.00316,0.004258,0.004258,0.004258
60,6387.95,1.72424,0.91538,0.00269,0.82391,0.7047,0.80845,0.4792,1.52414,1.07424,0.00315,0.004159,0.004159,0.004159
61,6486.75,1.71442,0.9041,0.00269,0.81962,0.70852,0.80858,0.48084,1.52774,1.06518,0.00316,0.00406,0.00406,0.00406
62,6588.24,1.71862,0.91828,0.00269,0.82655,0.70492,0.80848,0.48021,1.52747,1.05914,0.00317,0.003961,0.003961,0.003961
63,6687.32,1.7247,0.91134,0.00271,0.82389,0.70559,0.80783,0.48093,1.5401,1.05986,0.00316,0.003862,0.003862,0.003862
64,6792.98,1.7082,0.90234,0.00269,0.82658,0.69866,0.80534,0.47978,1.53522,1.07321,0.00316,0.003763,0.003763,0.003763
65,6898.79,1.70255,0.90168,0.00267,0.83189,0.69463,0.80468,0.48049,1.52853,1.07361,0.00316,0.003664,0.003664,0.003664
66,7004.19,1.69604,0.89787,0.00264,0.82917,0.69776,0.80596,0.48196,1.54206,1.07217,0.00319,0.003565,0.003565,0.003565
67,7106.63,1.70267,0.88963,0.00263,0.83759,0.69418,0.80503,0.48209,1.54201,1.0657,0.00317,0.003466,0.003466,0.003466
68,7211.44,1.69344,0.88879,0.00266,0.82111,0.70895,0.8043,0.47969,1.54135,1.06622,0.00319,0.003367,0.003367,0.003367
69,7313.22,1.70036,0.88465,0.00264,0.81806,0.70613,0.80528,0.48067,1.5419,1.06267,0.00322,0.003268,0.003268,0.003268
70,7421.25,1.68538,0.88046,0.00263,0.81822,0.70962,0.80762,0.48091,1.54026,1.06584,0.0032,0.003169,0.003169,0.003169
71,7530.1,1.69957,0.88314,0.00262,0.82649,0.70865,0.80901,0.48124,1.5363,1.06779,0.00321,0.00307,0.00307,0.00307
72,7638.54,1.68382,0.87107,0.00261,0.82099,0.71515,0.80786,0.48169,1.5352,1.07271,0.00321,0.002971,0.002971,0.002971
73,7739.28,1.68288,0.87719,0.00261,0.8226,0.70962,0.808,0.48177,1.54407,1.06531,0.00322,0.002872,0.002872,0.002872
74,7846.61,1.67802,0.87079,0.00258,0.8275,0.71051,0.80938,0.48278,1.54016,1.06845,0.00321,0.002773,0.002773,0.002773
75,7952.73,1.67373,0.8655,0.00257,0.82906,0.70416,0.80755,0.48285,1.54217,1.06373,0.00322,0.002674,0.002674,0.002674
76,8052.66,1.66878,0.85838,0.00257,0.82725,0.70582,0.8086,0.48298,1.54028,1.07042,0.00322,0.002575,0.002575,0.002575
77,8155.94,1.6715,0.86038,0.00258,0.82251,0.71119,0.80896,0.48279,1.53326,1.07274,0.00319,0.002476,0.002476,0.002476
78,8258.01,1.65347,0.84811,0.00255,0.82703,0.70919,0.8093,0.48268,1.5339,1.06965,0.00319,0.002377,0.002377,0.002377
79,8357.74,1.65683,0.85298,0.00254,0.83179,0.70447,0.80923,0.4834,1.5345,1.07167,0.00318,0.002278,0.002278,0.002278
80,8456.74,1.65524,0.84393,0.00255,0.82596,0.7071,0.80841,0.4832,1.53102,1.07693,0.00318,0.002179,0.002179,0.002179
81,8556.83,1.64091,0.8341,0.00254,0.8259,0.71208,0.81032,0.48313,1.53078,1.07796,0.00319,0.00208,0.00208,0.00208
82,8663.56,1.64477,0.83799,0.00253,0.82858,0.7123,0.81067,0.48342,1.53517,1.07281,0.0032,0.001981,0.001981,0.001981
83,8771.23,1.64283,0.83696,0.00255,0.83285,0.7085,0.8106,0.48322,1.53581,1.07178,0.00321,0.001882,0.001882,0.001882
84,8877.08,1.64404,0.83436,0.00251,0.82823,0.7085,0.80966,0.48291,1.53536,1.07611,0.0032,0.001783,0.001783,0.001783
85,8977.7,1.63843,0.83842,0.00253,0.82455,0.71387,0.81054,0.48326,1.53562,1.07153,0.00321,0.001684,0.001684,0.001684
86,9077.44,1.62705,0.83366,0.00249,0.82035,0.71611,0.81083,0.48299,1.53713,1.07447,0.00322,0.001585,0.001585,0.001585
87,9177.55,1.63053,0.83676,0.00248,0.81909,0.71814,0.80992,0.4824,1.53699,1.0768,0.00323,0.001486,0.001486,0.001486
88,9275,1.62163,0.83184,0.00249,0.81935,0.71836,0.80937,0.48258,1.53732,1.08082,0.00322,0.001387,0.001387,0.001387
89,9373.16,1.62658,0.82715,0.00247,0.83021,0.7123,0.80952,0.48305,1.53957,1.07752,0.00323,0.001288,0.001288,0.001288
90,9474.49,1.63035,0.82813,0.00248,0.82423,0.71543,0.80952,0.48325,1.53942,1.07807,0.00322,0.001189,0.001189,0.001189
91,9606.58,1.54407,0.76776,0.00258,0.81973,0.71716,0.80976,0.4822,1.53694,1.08168,0.00322,0.00109,0.00109,0.00109
92,9711.4,1.53969,0.76398,0.00257,0.82,0.71857,0.8095,0.4819,1.53811,1.08323,0.00323,0.000991,0.000991,0.000991
93,9815.82,1.53598,0.75159,0.00252,0.82385,0.71566,0.80895,0.482,1.53624,1.08718,0.00323,0.000892,0.000892,0.000892
94,9921.47,1.52644,0.74343,0.00251,0.81967,0.71588,0.8083,0.48184,1.53821,1.09037,0.00323,0.000793,0.000793,0.000793
95,10026.8,1.53038,0.75175,0.00252,0.81955,0.71499,0.80761,0.48143,1.5417,1.08634,0.00323,0.000694,0.000694,0.000694
96,10135.1,1.52138,0.74719,0.0025,0.81658,0.71454,0.80762,0.48129,1.54358,1.0849,0.00324,0.000595,0.000595,0.000595
97,10244.9,1.51825,0.75268,0.00249,0.81744,0.71633,0.80809,0.48162,1.54322,1.08441,0.00324,0.000496,0.000496,0.000496
98,10348.8,1.5169,0.74936,0.00248,0.81762,0.71509,0.80754,0.48125,1.54287,1.08554,0.00324,0.000397,0.000397,0.000397
99,10455.3,1.51152,0.74375,0.00248,0.81986,0.71521,0.80772,0.48101,1.54354,1.08648,0.00324,0.000298,0.000298,0.000298
100,10560.7,1.50639,0.74412,0.00244,0.81898,0.71365,0.8075,0.4811,1.54355,1.08792,0.00324,0.000199,0.000199,0.000199
